SAP,Material Description,routing time,Class,Class Code
500470852,"BPA B0201876,B0201927,G16,G14,G04 DRX737",300.0,Medium,2
500434602,"BPA B0201876,B0201927,G16,G14,G06 DRX737",240.0,Medium,2
500320921,"BPA B0201876,U DRX732",14.0,Low,1
500338224,"BPA B0201876,U New DRX732",15.0,Low,1
500332568,"BPA B0201876,U,ANW DRX740",32.0,Low,1
500429270,"BPA B0201876/927,2xG16,G04,G14,G0 DRX736",260.0,Medium,2
500309602,"BPA B0201881,A,ANW DRX732",20.0,Low,1
500253239,"BPA B0201895,A DRX732",20.0,Low,1
500321423,"BPA B0201895,A,ANW DRX740",25.0,Low,1
500582890,"BPA B0201927,B0201876,G20,G04 DRX737",250.0,Medium,2
500275964,BPA B0202009 DRX736,39.0,Low,1
500333133,BPA B0202020 DRX740,25.0,Low,1
500301835,"BPA B0202020,ANW,A DRX732",32.0,Low,1
500305051,"BPA B0202028,U,ANW DRX732",25.0,Low,1
500309551,"BPA B0202034,A DRX732",32.0,Low,1
500430327,BPA B0202048 DRX740,30.0,Low,1
500338222,"BPA B0202048,A DRX733",30.0,Low,1
500300822,"BPA B0202048,ANW DRX732",12.0,Low,1
500426526,"BPA B0202056,B0012251 DRX737",45.0,Low,1
500431306,"BPA B0202056,B0012251 DRX740",30.0,Low,1
500328083,"BPA B0202070,U DRX732",31.0,Low,1
500328084,"BPA B0202070,U DRX740",30.0,Low,1
500382275,"BPA B0202106,B0302129,ANW 4RastnasDRX736",15.0,Low,1
500324962,"BPA B0202106,B0302129,ANW DRX736",90.0,Low,1
500426529,BPA B0202153 Halterung offene DRX736,20.0,Low,1
500426528,"BPA B0202153,Halter geschlossen DRX736",20.0,Low,1
500326140,"BPA B0202205,U DRX732",25.0,Low,1
500327570,"BPA B0202206,U DRX732",32.0,Low,1
500327571,"BPA B0202206,U DRX740",32.0,Low,1
500327632,"BPA B0202207,U DRX732",32.0,Low,1
500327635,"BPA B0202207,U DRX740",32.0,Low,1
500330006,"BPA B0202271,ANW DRX732",30.0,Low,1
500360739,BPA B0202289 DRX732,10.0,Low,1
500379816,"BPA B0202294,U,ANW DRX740",10.0,Low,1
500425306,"BPA B0202317,S DRX737",27.0,Low,1
500446404,BPA B0202322_DRX740,9.0,Low,1
500402857,"BPA B0202322,ANW DRX732",10.0,Low,1
500388879,"BPA B0202324,B0302129,4 Rastnase DRX736",15.0,Low,1
500370156,"BPA B0202336,ANW DRX736",40.0,Low,1
